GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
16/354-6;QF Kaltenbrunnenquelle, Heiligkreuzsteinach;6.2;2.7;0.8;7.2;2.7;1.9;1.5;8.4;5.22;20;8;0.00025;0;3485600;5484950;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
16/361-8;GWM 03/3 B Stadtwerke, Pforzheim;72;51.8;0.41;55.6;4;24;18;22.1;7.31;36.4;8.2;0.001;0;3479583;5417539;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
16/362-0;BBR Schwimmbad, Bad Liebenzell;54.7;86.8;2.3;64.2;8.7;21.4;46.4;22.6;7.14;28.8;12.7;0.0045;0;3480310;5404780;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
16/364-6;QF II Wiestal, Nagold Emmingen;208;19.8;1;92.4;0.7;27.5;6.5;40.7;7.44;290;6.5;0.0005;0.00007;3480950;5382510;72;MUSCHELKALK;Middle Triassic;agr;1
16/417-0;QF Uchentalquelle Streichen, Balingen;115;1.2;1.7;48.3;0.7;6.5;3.1;3;7.09;18;6.8;0.0005;0;3495486;5348951;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
16/459-8;SBR BrÅhl Raiffeisenstraˇe, Lauffen am Neckar;167;52.7;0.6;92;1.41;33;24.6;24.6;7.06;148;10.6;0.0009;0;3510785;5437860;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
16/470-3;SBR Fa. Wolpert, Meˇkirch;123;40;0.9;69;7.8;17;16;23;7.15;25;10;0.0011;0.00002;3508580;5317240;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
16/560-4;TB 2 Wasen?cker, Burgstall an der Murr;130;36.4;0;84.9;2.6;32;18;18.1;7.04;138.2;10.6;0.0008;0;3526720;5421400;72;MUSCHELKALK;Middle Triassic;agr;1
16/608-9;QF H?ule, Heuberg;79;27;0.7;59;1.2;38;6.5;36;7.1;28;10;0.0008;0;3537110;5447090;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
16/620-4;QSS P 4/06 Wolfsgalgen, Bad Schussenried;110;9.1;0.97;57.5;1.5;18;6.6;12;7.21;21;9.1;0.001;0;3547270;5317906;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
16/705-5;SBR  Firma Laukhuff, Weikersheim;198;128.3;0.6;126.4;4.2;24.9;46.4;51.8;7.19;133.2;16.7;0.0007;0.00006;3565290;5483290;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
16/715-9;FB Firma Kr?mer S?flingen, Ulm;139.3;30.1;0.94;59.6;1.3;7.3;9.2;16.7;7.1;23.9;4.9;0.0031;0.00009;3570030;5363120;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
16/720-9;QF MÅhlhaldequelle Hauerz, Bad Wurzach;60;7.5;0.2;30.4;0.6;4.1;4.4;13.5;7.57;6.5;11;0.00025;0;3573700;5313450;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
160/065-1;GWM 1, Neuried-Altenheim;115;0;0.69;64.2;3.7;13.1;24.6;3;7.25;0;11.2;0.004;0;3411378;5373276;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
160/067-0;GWM 1279 A, Oberhausen;88.9;25;0;49.2;1.92;7.1;11;17.3;7.04;27;11;0.0005;0.0001;3405711;5343135;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
160/307-1;GWM F, Wagh?usel;113;25.9;1.4;58.9;1.4;13.4;14.7;9.2;7.36;108;13.5;0.0005;0;3465250;5457010;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
160/559-1;QF Reberwiesenquelle, Kleinh?chberg, Sulzbach an der Murr;62;17.2;0;53.5;2;33;6.8;28;7.25;14.3;10.7;0.0015;0.00013;3535015;5433170;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
160/621-3;QF Locherhof Ost, Horgenzell;128.4;17.8;0.81;68.4;1;23.8;6.2;17.8;7.1;39.6;10.2;0.0193;0.00014;3538000;5298650;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
160/770-4;GWM 1/77, Rieden-Aichstetten;91.8;20.2;0.5;52.6;1.5;15.9;10;11.5;7.27;8.9;4.7;0.0006;0;3580570;5307750;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
161/308-8;GWM T Volksschule, Neuthard;96.3;27.8;1.4;57.7;8.3;13;9.3;0.5;7.24;92.8;9.2;0.0007;0;3465420;5443340;9;(TIEF) QUART?R MITTL.U.UNT.GW-LEITER (OBERRHEINGR.);Quaternary URG;no_agr;0
161/621-9;BR GWZ Weingarten, Weingarten;117.3;47.1;1;70.9;3.2;19;23.2;23.9;7.19;33.7;8.7;0.0013;0.00002;3547520;5297500;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
161/768-5;GWM XIII, Kirchberg an der Iller;72;15;0.81;49.9;2.6;17;9.1;27;7.3;15;11.1;0.0012;0.00002;3580980;5333370;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
161/813-0;SBR, SchlÅsselbrauerei, Giengen;132;43;0.4;68.4;1.5;11;8.6;27;7.09;23;7.6;0.0005;0.00003;3591800;5388350;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
161/814-6;GWM 8905 LW, am Kagberg, HÅrben;138;33;0.8;69.2;1.4;11;5.8;0.9;7.11;41;5.4;0.00025;0;3590004;5385001;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
162/020-4;BBR1 FEW, Krozingen-Hausen;78.3;24.1;0;42.5;1.38;6.7;9.9;24.1;7.69;21.9;12;0.0005;0;3399356;5313978;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
162/023-0;GWM WB 4 Weil-Haltingen, Weil am Rhein;94.2;17.2;0.6;51.2;2.6;11.5;13.9;18.8;7.2;30.7;5.5;0.0008;0.00033;3394760;5274970;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
162/514-4;GWM B1 Riederich, Riederich;185;151.1;0.97;95.3;1.5;6.2;42.4;20.2;6.95;41.5;11.1;0.0005;0;3519840;5379590;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
162/568-3;GWM KBO9 Andelfingen, Altheim;101;20.2;0.32;55;0.6;12;5.6;40;7.36;16.1;11.4;0.0009;0;3531370;5333460;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
162/813-5;BBR Firma Fr?ser, Giengen;123;27;0.4;61.4;1.3;11;3;17;7.07;14;7.1;0.0005;0.00003;3591660;5388100;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
163/422-6;GWM C 4, Beuren an der Aach;150;104;1.7;97;1.7;19.7;61.6;20;7.03;64;9;0.0212;0;3490040;5295440;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
163/514-0;GWM Hegelsgraben, Metzingen;151;0;1.5;66.9;0.5;6;11.1;52.7;7.02;0;5.1;0.0007;0;3519610;5379540;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
163/559-8;SBR Talstraˇe, Sulzbach-Murr;108;6;2.6;62.9;0.5;29;8.8;0.5;6.93;20.4;9.8;0.0015;0;3536530;5429260;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
163/568-9;GWM B1 Donauwiesen, Riedlingen;95;27;1.3;51.4;2.3;7.7;15;10;7.3;20;7.6;0.0011;0;3536575;5336190;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
163/617-2;QF 1 Zugenwiese Oberwilzingen, Hayingen;98.9;10.6;0.59;46;0.5;1.3;3;34.6;7.31;14.6;3.4;0.0006;0.00023;3537570;5346215;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;agr;1
163/669-2;GWM 23N Appendorf Schweinhausen, Hochdorf;99;14;0.62;59.7;1.8;23;12;37;7.3;18;10.9;0.0013;0;3559260;5323130;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
163/771-0;GWM 15/83, Leutkirch;106;9;0.4;52.4;1.4;13.3;4.5;11.8;7.21;6.1;5.8;0.0005;0;3576080;5298650;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
163/814-5;GWM 7110 LW,  Dexelberg, Sontheim an der Brenz;139;31.7;1.18;77.9;1.9;7;20.6;30.2;6.79;76.8;11.1;0.0008;0;3593599;5380198;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1638/305-2;BR 1A ZV Lobdengau, Ladenburg;141;59.5;0.33;82.8;1.93;20.9;27.2;44.5;7.24;92.9;10.8;0.0009;0.00003;3472850;5481940;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
164/023-0;GWM RÅtte, Efringen-Kirchen;148.5;32.8;0.56;81.1;5.43;22.8;12.8;62.4;6.96;58.8;11.5;0.003;0;3392085;5279410;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
164/307-2;GWM F, St. Leon-Rot;230;62.1;3.8;127.3;2.9;33.6;34.6;0.5;6.97;370;13.5;0.001;0;3472725;5457590;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
164/514-5;GWM B 5 Fa. Kullen - Koti, Reutlingen;68.1;39.3;1.2;142;4.6;33.8;294;0.5;7.09;188;9.3;0.00025;0;3516670;5374900;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
1641/305-0;BR 1 Rosenhof, Ladenburg;150;39.8;0.46;88.6;1.73;21.7;17.5;111;7.13;84;11.7;0.001;0;3473840;5481160;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
1647/305-3;TB 1 WW Entensee, Heidelberg;101;9.9;0;57.9;2.08;19.1;12.3;6.7;7.25;16.3;13.7;0.0011;0;3475100;5477770;9;(TIEF) QUART?R MITTL.U.UNT.GW-LEITER (OBERRHEINGR.);Quaternary URG;agr;1
165/464-4;SBR Rosenau, Kusterdingen;164;20.3;1.2;89.3;2;47.8;15.3;8.6;7.05;213;7.8;0.0056;0;3509670;5377260;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
165/568-0;GWM B4 Donauwiesen, Daugendorf;104;31;0.99;57.6;2.3;7.6;15;11;7.22;21;8.5;0.0007;0;3537090;5338720;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
1653/511-0;GWM 4A Dampfkraftwerk, Stuttgart- MÅnster;141.6;60.2;1.44;91.4;13.1;27.7;31;15.2;7.29;172;10.9;0.0012;0;3516359;5408711;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
1656/305-4;BR 8 WW-Rauschen OZ53/18, Heidelberg;123;54.5;0.35;77;3.59;19.5;30.7;22.7;7.28;98.2;9.1;0.0007;0;3472583;5476000;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
166/257-5;BR 1 Good Year, Philippsburg;105;26.9;1.5;60.4;7.6;17.1;17.4;0.6;7.28;116;10.3;0.0014;0;3461340;5454100;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
166/422-0;GWM C 5, Hausen an der Aach;131;22;1.5;69.7;4.2;19.7;13.1;32;7.17;59;10.5;0.0065;0;3489040;5294460;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
166/508-3;BR am Wollhaus, Heilbronn;190;120;1.5;131.3;1.5;41;41;82;7.05;200;13.5;0.0024;0;3516118;5444628;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;no_agr;0
166/559-4;TB Sportplatz, Sulzbach an der Murr;319;34.8;0;150.5;3.5;52;10.7;10.8;6.98;612.8;9.5;0.0019;0;3536150;5429390;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;no_agr;0
166/562-9;QF Bocksreutequelle Gewann Riˇhalde, Reichenbach an der Fils;71;6.9;0.57;67.7;4.2;61;17;5.5;7.27;40;11.7;0.0058;0;3534490;5398280;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
167/422-4;GWM C 7, Friedingen;123;21;1;64.5;3.3;18.7;11.7;36;7.17;26;11.1;0.0021;0;3489780;5294050;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
168/067-7;GWM 3545, Herbolzheim;172;58;1.98;91.6;1.35;22;14.5;0.5;6.66;109;10.3;0.0028;0;3409080;5342020;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
168/068-3;BBR 2 Firma Thieme, Teningen;32.4;9.7;0.58;21.8;1.9;4.9;7.1;3.3;6.86;15.6;16;0.00025;0;3410885;5333348;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
168/422-9;GWM C 15, Steiˇlingen;135;19;0.8;71.2;2;23.2;9.8;76;7.11;29;9.4;0.0018;0;3493700;5293990;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
168/464-0;QF Schl?sschenquelle Einsiedel, Kirchentellinsfurt;109;20.1;0.7;51.5;0.5;8.6;9.7;24.9;7.15;34.3;10.2;0.0005;0;3510240;5379930;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
168/617-0;GWM Unterer Steinbrunnen Kirchen, Ehingen;98.6;13.2;0.39;50.6;0.5;7.1;2.4;22.9;7.17;11.3;4;0.00025;0.00009;3546218;5348140;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1681/305-6;NB F58 DÅrerstraˇe, MA-Neuostheim;210;67.9;0.62;116.9;7.71;33.3;32.4;30.2;6.87;194;14.5;0.0028;0;3464783;5482545;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
169/260-6;BR Oberwaldstadion, Karlsruhe;137;43.8;0.9;73.5;6.2;13.5;23;26.6;7.09;60.9;8.3;0.0005;0;3459025;5427638;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
169/464-6;QF II Dom?ne Ammern, TÅbingen;269;18.2;1.1;131.4;22.3;53.1;10.8;54.8;6.97;491;9.1;0.0023;0;3500040;5375760;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;agr;1
169/510-1;TB Tal, Kleiningersheim;129.5;51.4;0.61;81.8;4.36;27.5;26.7;32.7;7.28;103;8.5;0.0009;0.00003;3515125;5426350;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
1690/511-9;GWM 8107 Haldenstraˇe, Stuttgart-Bad Cannstatt;436.9;79.3;0.68;217;4.56;92.4;19.3;58.3;6.98;1065;10.4;0.0039;0.00003;3515206;5407908;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
1691/305-2;NB F80 Schule, MA-Pfingstberg;134;54.5;0.2;78.2;2.7;20.4;20;34.8;7.42;78.7;9.4;0.0012;0;3466228;5478558;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
17/174-6;BR 4 Papierfabrik, Albbruck;63.5;9.4;0.55;34.8;1.89;8.8;8.8;7.9;7.52;24.3;4.2;0.0008;0;3434860;5272475;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
17/321-9;QF Sch?cherquelle, FÅrstenberg;96;3.9;1.2;45.2;4.7;6.7;2.5;16;7.51;22;5.5;0.0005;0;3467840;5305820;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
17/364-1;SBR Rohrdorfer Steige, Nagold;93.8;6.8;1.2;54;0.7;28.4;6.6;17.5;7.57;27.1;5.5;0.0005;0;3479010;5380500;72;MUSCHELKALK;Middle Triassic;agr;1
17/416-3;SBR Euro Plus1, Bisingen;163;131;0.6;94;2.4;6.2;42;31;7.16;44;6.1;0.0005;0;3494200;5352620;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
17/472-4;QF Hirtenhofquellen Ost + West, Allensbach;109;11;0.6;60;1.2;25.6;4.6;10;7.23;35;13.7;0.0011;0;3502820;5291000;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
17/504-9;Q sÅdlich ?nglert, Mudau-Donebach;21;8.7;0.8;17.7;1.2;11.7;3.4;11.4;7.14;5.1;9;0.0005;0;3515040;5490540;81;BUNTSANDSTEIN;Lower Triassic;agr;1
17/508-0;SBR Weidach, Heilbronn-Sontheim;130;60;0;81;1.9;34;9;60;7.34;60;15;0.0018;0;3513593;5442513;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
17/553-4;BBR Rabertsgrund, Steinbach;99;51;0.85;59.8;0.5;17;8.6;49;6.83;43;13.3;0.0005;0.00005;3534875;5504380;81;BUNTSANDSTEIN;Lower Triassic;agr;1
17/566-6;QF H?lzebrunnen- und Wiesenquelle Buttenhausen, MÅnsingen;115;9.7;0.52;49.6;0.37;4.5;4.3;17.4;7.21;12;4.6;0.00025;0;3534395;5359075;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
17/567-9;QF 1 Neunbrunnen, Zwiefalten;116.1;106;1.9;76.8;1.1;1.3;34;49;7.4;17.9;3;0.00025;0.00023;3532525;5343535;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
17/572-9;GWM 7/83 Stadel Riedheim, Markdorf;129;23.8;0.64;69.8;0.9;17.1;10.6;24.4;7.07;22.2;9.7;0.0012;0.00007;3534118;5287446;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
17/608-4;QF Grosser Binsenbrunnen, Mainhardt;56.6;7.4;0;44.5;0.74;29.2;4.2;21;7.56;14.7;13;0.0033;0;3543930;5440815;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
17/656-7;QF BrÅhl, D?rrenzimmern;259;21.2;0;118.4;2.4;24;6.7;32.8;7.36;431;9.1;0.0007;0;3548690;5466595;72;MUSCHELKALK;Middle Triassic;no_agr;0
17/658-2;SBR EWV Wackershofen,Gailenkirchen;86.2;57.2;1.67;78.4;8.48;46.2;34.4;34.3;7.91;64.1;10.4;0.0012;0.0002;3551680;5444150;71;LETTENKEUPER;Lettenkeuper;agr;1
17/664-5;BR 1 Ditzenbacher Straˇe, Deggingen;113.8;58.8;0.65;65.5;2.83;5.2;34.9;14.8;7.13;26.4;6.6;0.00025;0;3552420;5384140;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
17/673-6;BR 1 (alt) Blauer See, Primisweiler;118.5;15.1;0.7;57.7;0.8;12.2;6.6;18.4;7.2;11.8;6.9;0.0013;0;3557555;5280240;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
17/722-0;BR AKO-Werke Kisslegg, Kiˇlegg;103;49.5;0.8;65.7;1.6;13.6;30;13.1;7.1;16.1;7.3;0.0014;0;3566380;5295330;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
17/760-9;QF Hohlbrunnen, Rainau;64.1;39.4;0.24;41.3;1.6;10.9;16.2;17.1;6.92;17.5;14.7;0.0005;0.00018;3583620;5421430;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
17/763-7;SBR V Firma Voith, Heidenheim;115;39;0.3;65.8;1.5;3.8;13;19;7.37;16;5.8;0.00025;0;3584850;5392870;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
17/771-5;TB 1 Lauben Wuchzenhofen, Leutkirch im Allg?u;91.5;10.7;0.4;49.5;1.6;14.5;4.3;9.5;7.3;6.8;4.7;0.0005;0;3577930;5303680;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
170/273-5;GWM 2 Obere Reute, Klettgau-Erzingen;95.3;10.9;0.4;55.7;1.46;17.9;4;28.4;7.19;18.6;8.8;0.0009;0;3458457;5279560;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
171/021-8;BBR Fa. Hellma MÅllheim, MÅllheim;137;39.3;0.78;77;14.7;14.7;21.7;41.9;6.98;55.3;14;0.0017;0;3395670;5298140;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
171/259-5;GWM 3296 Nr.44 Stadtwerke, KA-Waldstadt;110;27.7;0.67;60.8;4.2;12;13.5;11.5;7.24;66.6;13.7;0.0015;0;3458143;5434886;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
171/306-2;GWM MÅllumschlag, Eppelheim;195;59.9;0.59;111;5.52;36.4;30.8;72.5;7.02;136;12.3;0.0016;0;3472732;5473123;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
171/464-9;GWM B 41 Tuebingen, TÅbingen;141;39.3;0.58;77.3;3.8;29.5;22.9;19.4;7.24;179;6.8;0.0015;0;3502180;5373690;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
171/508-2;BR IV Ackermann Kolpingstraˇe, Heilbronn-Sontheim;210;74;0;129.7;3.8;65;45;4;7.05;220;11.3;0.0013;0;3514455;5443001;99;MISCHWASSER, MEHRERE AQUIFERE;multiple or undifferentiated;no_agr;0
171/813-6;QF Wahlberg HÅlbe West, Nattheim;142;3.4;1.1;57.2;2.9;2.1;0.8;3.8;7.09;25;10;0.00025;0;3592640;5395400;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
172/164-0;GWM B I, Renchen-Ulm;110;15.6;0.83;63.1;1.1;8.9;9.3;32.6;6.88;53.2;26.9;0.0005;0;3431203;5382320;1;QUART?R M?CHTIGER L?SS (VORBERGZONE);Quaternary URG;agr;1
172/173-1;QF 30 Etziboden Engelschwand, G?rwihl;3.7;0;0.39;4;0.5;0.7;3.7;2.5;6.44;0.8;16.3;0.0005;0;3428195;5283750;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
172/464-4;GWM B 42 Tuebingen, TÅbingen;164;32.4;1.3;0;2;38.1;17.1;23.5;6.96;122;8.6;0.0033;0;3503170;5373510;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
172/668-4;GWM 3/87 Rissh?fe H?fen, Warthausen;104;31;3.5;61.2;1.8;18;11;40;7.17;25;9.4;0.005;0;3559745;5334840;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
172/772-2;GWM 3/82 Herlazhofen, Leutkirch;107.5;4.5;0.5;50.4;1;10.2;2.2;9.3;7.29;6.5;6.6;0.00025;0;3578830;5295580;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
173/260-0;GWM F Gewann Birkheck Scheibenhardt, Ettlingen;118;22.3;1.1;59.1;1.7;6.6;13.5;1.2;7.12;55.1;11.1;0.0013;0;3453520;5425325;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
173/304-8;GWM WK 254/O, MA-K?fertal;171;45.9;0.81;91.6;1.34;19.8;18.1;1.8;7.11;166;13.1;0.006;0;3465950;5488100;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
174/113-1;GWM 125 Tanklager, Kehl-Auenheim;89.4;33.5;0.75;50.1;2.9;6.4;25.8;2.8;7.33;26.9;9.4;0.001;0;3414680;5385970;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;112;24.6;0.6;56.7;1.2;9.3;5.6;0.5;7.23;60.8;11.1;0.00025;0;3453525;5425335;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
174/306-4;GWM F, Hockenheim-Talhaus;140;45;1.5;82.5;4.6;16.6;21;22;7.1;123;11.9;0.0084;0;3465788;5466969;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
174/464-5;GWM B 44 Tuebingen, TÅbingen;222;33.4;1.1;105;3.6;39.4;15.9;23.7;7.12;358;5.8;0.0022;0;3502980;5373880;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
174/668-5;GWM P 3138, Biberach;97.8;25.3;0.6;55.3;1.9;24.8;10.1;26;7.32;21.9;9.9;0.0011;0;3559203;5330148;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
174/669-2;GWM 10 N Lindenweg Unteressendorf, Hochdorf;100;14;0.93;59.4;1.9;22;9.1;35;7.31;19;10.4;0.0013;0;3557310;5320730;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
175/113-6;GWM 154 Oiltanking, Rheinau-Honau;59.2;28.3;1.05;37.7;2.6;6.9;23.7;2.9;7.67;23.7;4.3;0.0007;0.00002;3415020;5389790;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
175/716-1;GWM B 203 Donautal, Ulm;141.4;93;4.3;90;3.5;9.2;32.8;0.5;6.88;12.8;5.3;0.0054;0;3571160;5359335;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
176/024-3;GWM Weil, Weil am Rhein;45.2;10.5;0.4;25.4;1.7;4.7;8.1;7;7.62;14.5;8.3;0.0005;0;3396668;5272396;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
176/163-0;TB GWV Hanauerland, Memprechtshofen;99.7;12.3;0.51;50.3;0.9;13.5;5.3;12.3;7.3;11.4;15.7;0.0019;0;3426500;5393980;9;(TIEF) QUART?R MITTL.U.UNT.GW-LEITER (OBERRHEINGR.);Quaternary URG;no_agr;0
176/258-6;GWM Sporthalle, Hochstetten;135;41.8;0.9;71.5;7.1;14.7;16.4;12.4;7.11;129.2;10.7;0.0099;0;3456992;5444644;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
